,Product_name,Sale_Price,Actual_Price,Rating,No_of_Rating,Offer,Specifications
39,"APPLE iPhone 13 Mini (Midnight, 512 GB)","₹96,900","₹99,900",4.6,272 Ratings & 25 Reviews,3% off,512 GB ROM13.72 cm (5.4 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
40,"APPLE iPhone 13 Pro (Graphite, 128 GB)","₹1,19,900",Same Price,4.7,448 Ratings & 42 Reviews,No offer,128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
41,"APPLE iPhone 13 Mini ((PRODUCT)RED, 256 GB)","₹76,900","₹79,900",4.6,272 Ratings & 25 Reviews,3% off,256 GB ROM13.72 cm (5.4 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
42,"APPLE iPhone 13 Pro Max (Graphite, 1 TB)","₹1,79,900",Same Price,4.7,652 Ratings & 69 Reviews,No offer,1 TB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
43,"APPLE iPhone 12 Pro Max (Pacific Blue, 128 GB)","₹1,19,900",Same Price,4.6,"1,202 Ratings & 98 Reviews",No offer,"128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic Shield | Industry-leading IP68 Water ResistanceAll Screen OLED DisplayLiDAR Scanner for Improved AR Experiences, Night Mode PortraitsBrand Warranty for 1 Year"
44,"APPLE iPhone 13 Pro Max (Silver, 128 GB)","₹1,29,900",Same Price,4.7,652 Ratings & 69 Reviews,No offer,128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
45,"APPLE iPhone 13 Pro Max (Silver, 512 GB)","₹1,59,900",Same Price,4.7,652 Ratings & 69 Reviews,No offer,512 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
46,"APPLE iPhone 12 Pro (Silver, 512 GB)","₹1,34,900","₹1,39,900",4.6,"1,054 Ratings & 70 Reviews",3% off,"512 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic Shield | Industry-leading IP68 Water ResistanceAll Screen OLED DisplayLiDAR Scanner for Improved AR Experiences, Night Mode PortraitsBrand Warranty for 1 Year"
47,"APPLE iPhone 13 Pro Max (Gold, 128 GB)","₹1,29,900",Same Price,4.7,652 Ratings & 69 Reviews,No offer,128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
48,"APPLE iPhone 11 Pro Max (Space Grey, 64 GB)","₹1,17,100",Same Price,4.7,"1,093 Ratings & 100 Reviews",No offer,64 GB ROM16.51 cm (6.5 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty for 1 Year
